RC	UFI	UNI	LAT	LONG	DMS_LAT	DMS_LONG	MGRS	JOG	FC	DSG	PC	CC1	ADM1	POP	ELEV	CC2	NT	LC	SHORT_FORM	GENERIC	SORT_NAME_RO	FULL_NAME_RO	FULL_NAME_ND_RO	SORT_NAME_RG	FULL_NAME_RG	FULL_NAME_ND_RG	NOTE	MODIFY_DATE
5	-2662443	-3674958	19.266667	103.116667	191600	1030700	48QUG0206931408	NE48-01	P	PPL		LA	14				V				BANSUONNHA	Ban Suon Nha	Ban Suon Nha	BANSUONNHA	Ban Suon Nha	Ban Suon Nha		1994-01-25
5	-2662443	-3674904	19.266667	103.116667	191600	1030700	48QUG0206931408	NE48-01	P	PPL		LA	14				N				BANSOUANGNA	Ban Souan-Gna	Ban Souan-Gna	BANSOUANGNA	Ban Souan-Gna	Ban Souan-Gna		1994-01-25
5	-2660933	-3672558	19.466667	104	192800	1040000	48QUG9504352770	NE48-02	P	PPL		LA	14				N		Ban Pahin Noy		BANPAHINNOYb	Ban Pahin Noy (1)	Ban Pahin Noy (1)	BANPAHINNOYb	Ban Pahin Noy (1)	Ban Pahin Noy (1)		1994-01-25
5	-2660933	-3672556	19.466667	104	192800	1040000	48QUG9504352770	NE48-02	P	PPL		LA	14				V				BANPAHINNOI	Ban Pa Hin Noi	Ban Pa Hin Noi	BANPAHINNOI	Ban Pa Hin Noi	Ban Pa Hin Noi		1994-01-25
5	-2660923	-3672922	19.883333	104.15	195300	1040900	48QVG1101898796	NE48-02	P	PPL		LA	03				V				BANPHADONG	Ban Pha Dong	Ban Pha Dong	BANPHADONG	Ban Pha Dong	Ban Pha Dong		1994-01-25
5	-2660923	-3672541	19.883333	104.15	195300	1040900	48QVG1101898796	NE48-02	P	PPL		LA	03				N				BANPADONG	Ban Padông	Ban Padong	BANPADONG	Ban Padông	Ban Padong		1994-01-25
5	-2666396	-3680987	16.65	105.566667	163900	1053400	48QWD6043040923	NE48-15	P	PPL		LA	20				V				MUANGPHALANE	Muang Phalane	Muang Phalane	MUANGPHALANE	Muang Phalane	Muang Phalane		1998-08-11
5	-2666396	-3681231	16.65	105.566667	163900	1053400	48QWD6043040923	NE48-15	P	PPL		LA	20				V				MUONGPHALANE	Muong Phalane	Muong Phalane	MUONGPHALANE	Muong Phalane	Muong Phalane		1998-08-11
5	-2666396	-3681229	16.65	105.566667	163900	1053400	48QWD6043040923	NE48-15	P	PPL		LA	20				V				MUONGPHA	Muong Pha	Muong Pha	MUONGPHA	Muong Pha	Muong Pha		1998-08-11
5	-2666396	-3680986	16.65	105.566667	163900	1053400	48QWD6043040923	NE48-15	P	PPL		LA	20				N				MUANGPHALAN	Muang Phalan	Muang Phalan	MUANGPHALAN	Muang Phalan	Muang Phalan		1998-08-11
