RC	UFI	UNI	LAT	LONG	DMS_LAT	DMS_LONG	MGRS	JOG	FC	DSG	PC	CC1	ADM1	POP	ELEV	CC2	NT	LC	SHORT_FORM	GENERIC	SORT_NAME_RO	FULL_NAME_RO	FULL_NAME_ND_RO	SORT_NAME_RG	FULL_NAME_RG	FULL_NAME_ND_RG	NOTE	MODIFY_DATE
5	-1033376	-1529734	10.65	103.883333	103900	1035300	48PUS7786277500	NC48-05	H	STM		CB	28				V				PREKTUKTHLA	Prek Tuk Thla	Prek Tuk Thla	TUKTHLA PREK	Tuk Thla, Prek	Tuk Thla, Prek		2009-05-12
5	-1032202	-1526026	13.65	104.25	133900	1041500	48PVA1888409144	ND48-10	H	STMI		CB	24				V				OPRDAP	O Prdap	O Prdap	PRDAP O	Prdap, O	Prdap, O		2009-05-12
5	-1032202	-1525870	13.65	104.25	133900	1041500	48PVA1888409144	ND48-10	H	STMI		CB	24				N				OPRADAB	O Prâdăb	O Pradab	PRADAB O	Prâdăb, O	Pradab, O		2009-05-12
5	-1023162	-1509112	13.666667	104.25	134000	1041500	48PVA1888910987	ND48-10	A	ADMD		CB	24				V				BENGMEALEA	Beng Mealea	Beng Mealea	BENGMEALEA	Beng Mealea	Beng Mealea		2009-05-12
5	-1023162	-1509171	13.666667	104.25	134000	1041500	48PVA1888910987	ND48-10	A	ADMD		CB	24				N		Bœ̆ng Méaléa		SROKBOENGMEALEA	Srŏk Bœ̆ng Méaléa	Srok Boeng Mealea	BOENGMEALEA SROK	Bœ̆ng Méaléa, Srŏk	Boeng Mealea, Srok		2009-05-12
5	8035773	8035773	13.100833	102.661667	130603	1023942	48PTV4646749460	ND48-09	H	STMI		CB	29				D			O	OPHKAPRAMOL	O Phka Prâ mol	O Phka Pra mol	PHKAPRAMOL O	Phka Prâ mol, O	Phka Pra mol, O		2009-05-14
5	-1026793	-1517045	13.114167	102.661667	130651	1023942	48PTV4648150935	ND48-09	P	PPL		CB	29				N				PHUMIKAMPRANG	Phumĭ Kâmpráng	Phumi Kamprang	PHUMIKAMPRANG	Phumĭ Kâmpráng	Phumi Kamprang		2009-05-14
5	-1026793	-1512360	13.114167	102.661667	130651	1023942	48PTV4648150935	ND48-09	P	PPL		CB	29				V				KOMPRANG	Komprang	Komprang	KOMPRANG	Komprang	Komprang		2009-05-14
5	-1026793	8001908	13.114167	102.661667	130651	1023942	48PTV4648150935	ND48-09	P	PPL		CB	29				V				PHUMKAMPRANG	Phum Kámprâng	Phum Kamprang	PHUMKAMPRANG	Phum Kámprâng	Phum Kamprang		2009-05-14
5	-1026646	-1516866	13.108889	102.68	130632	1024048	48PTV4846450333	ND48-09	P	PPL		CB	29				N				PHUMIKAMPONGCHLANG	Phumĭ Kâmpóng Chlâng	Phumi Kampong Chlang	PHUMIKAMPONGCHLANG	Phumĭ Kâmpóng Chlâng	Phumi Kampong Chlang		2009-05-14
5	-1026646	8001927	13.108889	102.68	130632	1024048	48PTV4846450333	ND48-09	P	PPL		CB	29				V				PHUMKAMPONGCHLANG	Phum Kâmpòng Chlâng	Phum Kampong Chlang	PHUMKAMPONGCHLANG	Phum Kâmpòng Chlâng	Phum Kampong Chlang		2009-05-14
